destination_code,destination_id,destination_name,discharge_port,entry_number,entry_status,excise_duty,export_duty,hscode_code,hscode_description,hscode_id,id,import_declaration_fee,import_duty,import_vat,origin_code,origin_id,origin_name,product_id,product_name,quantity,railway_development_levy,reg_date
KE,118,Kenya,DHL,20NBOIM400081542,Settled,0,0,4819.10.00,Cartons,12,1,839,5991,4793,AE,8,United Arab Emirates,12,BOX 4-BROWN.BOX 2-BROWN,0.3,480,01/06/2020
KE,118,Kenya,DHL,20NBOIMC00126967,Settled,0,0,4811.59.90,PE Comet Paper,13,2,839,5991,4793,GB,80,United Kingdom,13,LABORATORY APPARATUS,10.0,480,01/06/2020
KE,118,Kenya,MIA,20MBAIMC00016307,Settled,0,0,4819.40.00,Paper and bags,11,3,839,5991,4793,GB,80,United Kingdom,14,BAGS,50.0,480,01/06/2020
KE,118,Kenya,DHL,20NBOIM400080042,Pending Removal,0,0,4819.10.00,Cartons,12,4,839,5991,4793,AE,8,United Arab Emirates,15,SMALL AND LARGE FLYERS,1.0,480,01/06/2020
KE,118,Kenya,KAH,20NBOIMC00138682,Pending Removal,0,0,4819.10.00,Cartons,12,5,839,5991,4793,AU,15,Australia,16,CARDBOARD BOXES,0.81,480,01/07/2020
KE,118,Kenya,SIG,20NBOIM400018064,Settled,0,0,4819.10.00,Cartons,12,6,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,0.3,480,01/02/2020
KE,118,Kenya,DHL,20NBOIM400117379,Settled,0,0,4819.10.00,Cartons,12,7,839,5991,4793,AE,8,United Arab Emirates,18,BOX 8- BROWN,298.0,480,01/06/2020
KE,118,Kenya,SIG,20NBOIMC00558705,Settled,0,0,4819.10.00,Cartons,12,8,839,5991,4793,DE,60,Germany,19,BOXES,65.5,480,01/19/2020
KE,118,Kenya,KAH,20NBOIMC00392769,Settled,0,0,4819.10.00,Cartons,12,9,839,5991,4793,IN,105,India,20,EMPTY PACKAGING BOXES,60.0,480,01/15/2020
KE,118,Kenya,TCC,20NBOIM400337065,Settled,0,0,4819.10.00,Cartons,12,10,839,5991,4793,ZA,247,South Africa,21,"PACKAGING MATERIAL - GDI 30,15,45 OUTER (CARDBOARD)",70.0,480,01/13/2020
KE,118,Kenya,KAH,20NBOIMC00392700,Settled,0,0,4819.10.00,Cartons,12,11,839,5991,4793,IN,105,India,20,EMPTY PACKAGING BOXES,60.0,480,01/15/2020
KE,118,Kenya,KAH,20NBOIMC00392501,Settled,0,0,4819.10.00,Cartons,12,12,839,5991,4793,IN,105,India,20,EMPTY PACKAGING BOXES,62.0,480,01/15/2020
KE,118,Kenya,SIG,20NBOIM400357225,Under control,0,0,4819.10.00,Cartons,12,13,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,0.61,480,01/13/2020
KE,118,Kenya,CSC,20NBOIM400372848,Settled,0,0,4819.40.00,Paper and bags,11,14,839,5991,4793,CN,44,China,22,PROMOTION ITEMS,139.578,480,01/14/2020
KE,118,Kenya,KAH,20NBOIMC00267493,Settled,0,0,4819.30.00,Paper and bags,10,15,839,5991,4793,IN,105,India,23,BAGS,17.0,480,01/13/2020
ET,72,Ethiopia,NEX,20NBOEX100215176,Settled,0,0,4819.10.00,Cartons,12,16,839,5991,4793,KE,118,Kenya,24,SHOE BOXES,1905.0,480,01/09/2020
ZM,248,Zambia,NEX,20NBOEX100339014,Removed,0,0,4819.10.00,Cartons,12,17,839,5991,4793,KE,118,Kenya,25,300 PCS OF 5PLY PRINTED OUTER CARTONS,480.0,480,01/13/2020
KE,118,Kenya,DHL,20NBOIMC00268032,Settled,0,0,4819.10.00,Cartons,12,18,839,5991,4793,US,235,United States,26,FOLDING CARTONS,17.9,480,01/10/2020
KE,118,Kenya,KAH,20NBOIM400332806,Settled,0,0,4819.40.00,Paper and bags,11,19,839,5991,4793,LU,134,Luxembourg,27,SHOPPING BAGS,1.0,480,01/16/2020
KE,118,Kenya,DHL,20NBOIM400209034,Settled,0,0,4819.10.00,Cartons,12,20,839,5991,4793,AE,8,United Arab Emirates,28,DHL OFFICE SUPPLIES - EXPRESS ENVELOPES 300GM,1.0,480,01/13/2020
KE,118,Kenya,DHL,20NBOIM400272620,Pending Removal,0,0,4819.10.00,Cartons,12,21,839,5991,4793,AE,8,United Arab Emirates,29,BOX 8-7 BROWN,300.0,480,01/11/2020
KE,118,Kenya,DHL,20NBOIMC00480011,Pending Removal,0,0,4819.10.00,Cartons,12,22,839,5991,4793,AE,8,United Arab Emirates,30,PORSCHE WELCOME KIT BOX WITH SLEEVE,1.8,480,01/17/2020
KE,118,Kenya,DHL,20NBOIMC00480011,Pending Removal,0,0,4819.10.00,Cartons,12,23,839,5991,4793,AE,8,United Arab Emirates,31,PORSCHE FLYER FOLDERS,1.8,480,01/17/2020
KE,118,Kenya,KAH,20NBOIM400031008,Settled,0,0,4819.10.00,Cartons,12,24,839,5991,4793,CN,44,China,32,WESTAR ACTIV/PROFILE WATCH BOX BLACK,10.0,480,01/06/2020
KE,118,Kenya,MEX,20MBAIM400029820,Settled,0,0,7207.11.00,Billets,8,25,839,5991,4793,ZA,247,South Africa,33,"PRIME NON ALLOY STEEL BILLETS IN 3SP, SIZE 100MM X 100MM X 12M - 158 BUNDLES",591108.0,480,01/10/2020
KE,118,Kenya,DHL,20NBOIMC00176864,Settled,0,0,4819.10.00,Cartons,12,26,839,5991,4793,ZA,247,South Africa,34,JEWELLERY RING BOXES,63.975,480,01/08/2020
KE,118,Kenya,TCC,20NBOIM400182227,Removed,0,0,4811.59.90,PE Comet Paper,13,27,839,5991,4793,GB,80,United Kingdom,35,HP HEAVY WEIGHT COATED PAPER 36',220.5,480,01/08/2020
KE,118,Kenya,TCC,20NBOIM400182227,Removed,0,0,4811.59.90,PE Comet Paper,13,28,839,5991,4793,GB,80,United Kingdom,36,HP HEAVY WEIGHT COATED PAPER 42',283.0,480,01/08/2020
KE,118,Kenya,KAH,20NBOIMC00193849,Settled,0,0,4819.10.00,Cartons,12,29,839,5991,4793,IN,105,India,37,PACKAGING MATERIALS,5.0,480,01/08/2020
KE,118,Kenya,KAH,20NBOIMC00671249,Settled,0,0,4819.10.00,Cartons,12,30,839,5991,4793,IN,105,India,38,EMPTY INNER CARTON,30.4,480,01/23/2020
KE,118,Kenya,SIG,20NBOIM400721220,Settled,0,0,4819.10.00,Cartons,12,31,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,3.13,480,01/24/2020
KE,118,Kenya,MEX,20MBAIM400058603,Settled,0,0,7207.11.00,Billets,8,32,839,5991,4793,ZA,247,South Africa,39,"PRIME NON ALLOY STEEL BILLETS IN 3SP, SIZE 100MM X 100MM X 12M - 200 BUNDLES",748238.0,480,01/22/2020
KE,118,Kenya,SIG,20NBOIM400625755,Settled,0,0,4819.10.00,Cartons,12,33,839,5991,4793,ZA,247,South Africa,40,MONKEY SHOULDER TUBES- FOC- VALUE FOR CUSTOMS PURPOSES ONLY,162.0,480,01/22/2020
KE,118,Kenya,SIG,20NBOIM401036640,Settled,0,0,4819.40.00,Paper and bags,11,34,839,5991,4793,IN,105,India,41,12000 PCS OSA GRANULES EMPTY POUCH 1000GM - FREE SAMPLE FOR REPACKING PROCESS,120.0,480,02/03/2020
KE,118,Kenya,SIG,20NBOIM401036640,Settled,0,0,4819.40.00,Paper and bags,11,35,839,5991,4793,IN,105,India,42,1200PCS OSA GRANULES EMPTY POUCH 2500GM - FREE SAMPLE FOR REPACKING PROCESS,80.0,480,02/03/2020
KE,118,Kenya,SIG,20NBOIM401036640,Settled,0,0,4819.40.00,Paper and bags,11,36,839,5991,4793,IN,105,India,43,400PCS OSA GRANULES EMPTY POUCH 2500GM - FREE SAMPLE FOR REPACKING PROCESS,60.0,480,02/03/2020
KE,118,Kenya,SIG,20NBOIM401036640,Settled,0,0,4819.40.00,Paper and bags,11,37,839,5991,4793,IN,105,India,44,12LTRS OSA POWER 100ML - FREE SAMPLE FOR TESTING PURPOSE,12.0,480,02/03/2020
KE,118,Kenya,DHL,20NBOIMC00633107,Settled,0,0,4819.10.00,Cartons,12,38,839,5991,4793,AE,8,United Arab Emirates,45,ENVELOPES 300 GM,328.0,480,01/21/2020
KE,118,Kenya,SIG,20NBOIM400987047,Settled,0,0,4819.10.00,Cartons,12,39,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,1.0,480,02/01/2020
KE,118,Kenya,DHL,20NBOIMC00977892,Settled,0,0,4819.10.00,Cartons,12,40,839,5991,4793,ZA,247,South Africa,19,BOXES,18.0,480,01/31/2020
KE,118,Kenya,DHL,20NBOIMC00611716,Settled,0,0,4819.10.00,Cartons,12,41,839,5991,4793,US,235,United States,46,FLDNG CARTONS/BOXES/CASES OF NON-CORRUGATED PR,14.06,480,01/21/2020
KE,118,Kenya,MEX,20MBAIM400067277,Settled,0,0,7207.11.00,Billets,8,42,839,5991,4793,ZA,247,South Africa,47,"PRIME NON ALLOY STEEL BILLETS IN 3SP, SIZE 100MM X 100MM X 12M - 230 BUNDLES",860473.0,480,01/25/2020
KE,118,Kenya,KAH,20NBOIM400876223,Settled,0,0,4804.31.00,Unbleached kraft paper,3,43,839,5991,4793,RU,190,Russian Federation,48,"BROWN KRAFT PAPER 60GSM, SIZE:1000MM WIDTH & 76 MM CORE -SAMPLES -FREE OF CHARGE",80.0,480,01/29/2020
KE,118,Kenya,SIG,20NBOIM400888600,Removed,0,0,4819.10.00,Cartons,12,44,839,5991,4793,IN,105,India,49,PRE-PRINTED CARTON FOR MEDICINES,2.0,480,01/29/2020
ZA,247,South Africa,NEX,20NBOEX100832045,Settled,0,0,4819.10.00,Cartons,12,45,839,5991,4793,KE,118,Kenya,50,EMPTY CARTONS,10.0,480,01/28/2020
KE,118,Kenya,SIG,20NBOIMC00556864,Settled,0,0,4819.10.00,Cartons,12,46,839,5991,4793,US,235,United States,51,DELL COMPUTER PACKAGING MATERIAL,0.56,480,01/21/2020
KE,118,Kenya,CSC,20NBOIM700582137,Settled,0,0,4819.10.00,Cartons,12,47,839,5991,4793,CN,44,China,52,DARTS/DARTBOARD CARTONS -EPZ CARGO,291.0,480,01/20/2020
KE,118,Kenya,DHL,20NBOIM400915486,Settled,0,0,4819.10.00,Cartons,12,48,839,5991,4793,AE,8,United Arab Emirates,53,BOX 3 BROWN,79.0,480,01/30/2020
KE,118,Kenya,MIA,20MBAIM700056090,Settled,0,0,4819.10.00,Cartons,12,49,839,5991,4793,BE,19,Belgium,54,BOXTRAY 180C 4C RV FF C WHITE,54.25,480,01/21/2020
KE,118,Kenya,SIG,20NBOIM400816163,Under control,0,0,4819.10.00,Cartons,12,50,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,4.26,480,01/29/2020
SO,203,Somalia,TCC,20NBOEX101475971,Under control,0,0,4819.10.00,Cartons,12,51,839,5991,4793,KE,118,Kenya,55,CARTONS,150.0,480,02/16/2020
KE,118,Kenya,MSA,20MBAIM400093560,Pending Removal,0,0,7213.91.10,Wire rods,9,52,839,5991,4793,ZA,247,South Africa,56,PRIME NON ALLOY HOT ROLLED STEEL WIRE ROD SAE 1006 SIZE 5.5MM,150000.0,480,02/10/2020
KE,118,Kenya,DHL,20NBOIMC01438495,Settled,0,0,4819.40.00,Paper and bags,11,53,839,5991,4793,CN,44,China,57,GIFT BAG WITH REDWOOD DESIGN,4.41,480,02/14/2020
KE,118,Kenya,DHL,20NBOIMC01439770,Settled,0,0,4819.10.00,Cartons,12,54,839,5991,4793,IN,105,India,58,EMPTY PAPER BOX,1.0,480,02/14/2020
KE,118,Kenya,DHL,20NBOIMC01471260,Settled,0,0,4819.40.00,Paper and bags,11,55,839,5991,4793,CN,44,China,59,GIFT BAG,0.5,480,02/15/2020
KE,118,Kenya,DHL,20NBOIMC01471640,Settled,0,0,4819.40.00,Paper and bags,11,56,839,5991,4793,CN,44,China,60,A20450 GIFT BAG,0.5,480,02/15/2020
KE,118,Kenya,MCD,20MBAIM400105200,Settled,0,0,7207.11.00,Billets,8,57,839,5991,4793,ZA,247,South Africa,61,PRIME NON ALLOY STEEL BILLETS IN SIZE 100MM X 100MM X 12M - 837 BUNDLES,3092052.0,480,02/17/2020
KE,118,Kenya,TCC,20NBOIM401492790,Settled,0,0,4819.10.00,Cartons,12,58,839,5991,4793,IN,105,India,62,EMPTY BOXES,25.0,480,02/17/2020
KE,118,Kenya,CSC,20NBOIMC01081401,Settled,0,0,4819.10.00,Cartons,12,59,839,5991,4793,ZA,247,South Africa,63,EMPTY PACKAGING MATERIAL FOR TRANSPORTATION OF LAB SAMPLES,10.0,480,02/04/2020
KE,118,Kenya,DHL,20NBOIMC01282968,Settled,0,0,4819.10.00,Cartons,12,60,839,5991,4793,AE,8,United Arab Emirates,64,"PORSCHE WELCOME KITS BOX WITH SLEEVE, FLYER FOLDERS",1.0,480,02/11/2020
KE,118,Kenya,DHL,20NBOIMC01284510,Settled,0,0,4819.40.00,Paper and bags,11,61,839,5991,4793,DE,60,Germany,65,SIGNIA PAPER BAG,2.6,480,02/11/2020
KE,118,Kenya,MSA,20MBAIM400083589,Settled,0,0,2523.10.00,Cement Clinker,7,62,839,5991,4793,EG,67,Egypt,66,"CEMENT CLINKER IN BULK - 49,500,000 KGS",49500000.0,480,02/04/2020
KE,118,Kenya,SIG,20NBOIMC01274076,Settled,0,0,4819.10.00,Cartons,12,63,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,2.0,480,02/10/2020
KE,118,Kenya,RGL,20MBAIM400095990,Settled,0,0,7213.91.10,Wire rods,9,64,839,5991,4793,ZA,247,South Africa,67,PRIME NON ALLOY HOT ROLLED STEEL WIRE ROD.,100781.0,480,02/12/2020
KE,118,Kenya,MSA,20MBAIM400088100,Settled,0,0,7207.11.00,Billets,8,65,839,5991,4793,ZA,247,South Africa,68,PRIME NON ALLOY STEEL BILLETS.100.0mmX100.0mmX12.0m,1489302.0,480,02/06/2020
KE,118,Kenya,BAG,20NBOIMP01268057,Settled,0,0,4811.59.90,PE Comet Paper,13,66,839,5991,4793,KE,118,Kenya,69,COATED ROLL WINDING,1.0,480,02/10/2020
KE,118,Kenya,RGL,20MBAIM400092621,Pending Removal,0,0,7213.91.10,Wire rods,9,67,839,5991,4793,ZA,247,South Africa,70,"PRIME NON ALLOY HOT ROLLED STEEL WIRE ROD,STEELWOOL GRADE VG 13301,SIZE-7.0MM",102308.0,480,02/10/2020
KE,118,Kenya,DHL,20NBOIMC01179206,Settled,0,0,4819.40.00,Paper and bags,11,68,839,5991,4793,CN,44,China,71,GIFT BAG WITH REDWOOD,0.36,480,02/07/2020
CH,42,Switzerland,NEX,20NBOEX101190640,Removed,0,0,4811.59.90,PE Comet Paper,13,69,839,5991,4793,KE,118,Kenya,72,FANMILK SUPERYOKO TCA/ FAN VANILLE/FAN CHOCO CHOCO TCA 200ML,11511.0,480,02/07/2020
KE,118,Kenya,SIG,20NBOIM401396826,Settled,0,0,4819.10.00,Cartons,12,70,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,0.5,480,02/13/2020
KE,118,Kenya,MSA,20MBAIM400090325,Pending Removal,0,0,7207.11.00,Billets,8,71,839,5991,4793,ZA,247,South Africa,73,PRIME NON ALLOY STEEL BILLETS SIZE:100.0MMX100.0MMX12.0M,1562165.0,480,02/06/2020
KE,118,Kenya,MSA,20MBAIM400088680,Settled,0,0,7207.11.00,Billets,8,72,839,5991,4793,ZA,247,South Africa,74,PRIME NON ALLOY STEEL BILLETS 3SP/PS 100MMX100MMX12.0M,2016862.0,480,02/06/2020
KE,118,Kenya,MSA,20MBAIM400090194,Settled,0,0,7207.11.00,Billets,8,73,839,5991,4793,ZA,247,South Africa,75,PRIME NON ALLOY STEEL BILLETS SIZE :130.0MMX130.0MMX12.0M,2069088.0,480,02/06/2020
KE,118,Kenya,MSA,20MBAIM400090044,Pending Removal,0,0,7207.11.00,Billets,8,74,839,5991,4793,ZA,247,South Africa,75,PRIME NON ALLOY STEEL BILLETS SIZE :130.0MMX130.0MMX12.0M,1776704.0,480,02/06/2020
KE,118,Kenya,SIG,20NBOIMC01136254,Settled,0,0,4819.10.00,Cartons,12,75,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,1.0,480,02/05/2020
KE,118,Kenya,KAH,20NBOIMC01270771,Settled,0,0,4819.10.00,Cartons,12,76,839,5991,4793,IN,105,India,62,EMPTY BOXES,17.33,480,02/10/2020
KE,118,Kenya,DHL,20NBOIMC01143231,Settled,0,0,4819.10.00,Cartons,12,77,839,5991,4793,ZA,247,South Africa,76,2 BOXES,20.0,480,02/06/2020
KE,118,Kenya,DHL,20NBOIMC01255448,Settled,0,0,4819.10.00,Cartons,12,78,839,5991,4793,DE,60,Germany,77,PACKAGING,0.25,480,02/10/2020
KE,118,Kenya,MSA,20MBAIM400114650,Settled,0,0,7213.91.10,Wire rods,9,79,839,5991,4793,ZA,247,South Africa,78,PRIME HOT ROLLED NON ALLOY STEEL WIRE ROD COILS,372477.0,480,02/22/2020
KE,118,Kenya,SIG,20NBOIMC01612225,Settled,0,0,4819.10.00,Cartons,12,80,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,0.5,480,02/19/2020
KE,118,Kenya,DHL,20NBOIMC01684423,Settled,0,0,4819.10.00,Cartons,12,81,839,5991,4793,AE,8,United Arab Emirates,79,"PORSCHE GIFT BOX WITH SLEEVE, ENVELOPE",0.5,480,02/21/2020
KE,118,Kenya,SIG,20NBOIMC02005719,Settled,0,0,4819.10.00,Cartons,12,82,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,0.5,480,03/03/2020
SO,203,Somalia,TCC,20NBOEX101967342,Under control,0,0,4819.10.00,Cartons,12,83,839,5991,4793,KE,118,Kenya,55,CARTONS,295.0,480,02/29/2020
SO,203,Somalia,JKA,20NBOEX101722493,Under control,0,0,4819.10.00,Cartons,12,84,839,5991,4793,KE,118,Kenya,55,CARTONS,280.0,480,02/22/2020
KE,118,Kenya,KAH,20NBOIMC01575451,Settled,0,0,4819.30.00,Paper and bags,10,85,839,5991,4793,BD,23,Bangladesh,80,BAGS SAMPLES,1.0,480,02/18/2020
KE,118,Kenya,DHL,20NBOIMC01624090,Settled,0,0,4819.40.00,Paper and bags,11,86,839,5991,4793,CN,44,China,57,GIFT BAG WITH REDWOOD DESIGN,3.6,480,02/20/2020
KE,118,Kenya,MSA,20MBAIM400089535,Settled,0,0,7207.11.00,Billets,8,87,839,5991,4793,ZA,247,South Africa,75,PRIME NON ALLOY STEEL BILLETS SIZE :130.0MMX130.0MMX12.0M,1359220.0,480,02/20/2020
KE,118,Kenya,MSA,20MBAIM400089669,Settled,0,0,7207.11.00,Billets,8,88,839,5991,4793,ZA,247,South Africa,81,PRIME NON ALLOY STEEL BILLETS SIZE :100.0MMX100.0MMX12.0M,1367240.0,480,02/20/2020
KE,118,Kenya,DHL,20NBOIMC01903076,Settled,0,0,4804.31.00,Unbleached kraft paper,3,89,839,5991,4793,FR,76,France,82,GERMINATION TESTS PAPERS,23.0,480,02/27/2020
KE,118,Kenya,DHL,20NBOIM401929657,Settled,0,0,4819.10.00,Cartons,12,90,839,5991,4793,KR,123,"Korea, Republic of",83,BOX,1.0,480,02/28/2020
KE,118,Kenya,DHL,20NBOIMC01787993,To Amend,0,0,4819.10.00,Cartons,12,91,839,5991,4793,CN,44,China,83,BOX,2.5,480,02/24/2020
KE,118,Kenya,KAH,20NBOIMC01369969,Settled,0,0,4819.40.00,Paper and bags,11,92,839,5991,4793,NL,167,Netherlands,84,EMPTY SACHET,8.5,480,02/19/2020
KE,118,Kenya,ACH,20NBOIM401764854,Pending Removal,0,0,7217.20.00,GI wire,18,93,839,5991,4793,ZA,247,South Africa,85,OFFSET BRACKET 225 / 350 / 450 MM,6.0,480,02/24/2020
KE,118,Kenya,SIG,20NBOIMC01571311,Settled,0,0,4811.59.90,PE Comet Paper,13,94,839,5991,4793,HU,102,Hungary,86,"OA02 THERMO PAPER ROLL, 80X80X12mm, FOR 3"" PRINTERS",48.0,480,02/24/2020
KE,118,Kenya,MEX,20MBAIM400116301,Settled,0,0,7207.11.00,Billets,8,95,839,5991,4793,ZA,247,South Africa,87,"PRIME NON ALLOY STEEL BILLETS IN 3SP, SIZE 100MM X 100MM X 12M - 120 BUNDLES",448943.0,480,02/24/2020
KE,118,Kenya,DHL,20NBOIM401563167,Settled,0,0,4819.10.00,Cartons,12,96,839,5991,4793,KR,123,"Korea, Republic of",83,BOX,2.0,480,02/18/2020
KE,118,Kenya,DHL,20NBOIMC02186450,Settled,0,0,4819.10.00,Cartons,12,97,839,5991,4793,FR,76,France,83,BOX,0.5,480,03/07/2020
KE,118,Kenya,MSA,20MBAIM400135162,Settled,0,0,2523.10.00,Cement Clinker,7,98,839,5991,4793,AE,8,United Arab Emirates,88,"CLINKER IN BULK - 49,500,000 KGS",49500000.0,480,03/07/2020
KE,118,Kenya,KAH,20NBOIMC02487761,Settled,0,0,4819.30.00,Paper and bags,10,99,839,5991,4793,IN,105,India,89,PACKAGING AND LAUNDRY BAGS,25.0,480,03/16/2020
KE,118,Kenya,SIG,20NBOIM402110397,Settled,0,0,4819.10.00,Cartons,12,100,839,5991,4793,US,235,United States,90,SVC ALSOSHIP 06335 N6370,1.0,480,03/05/2020
KE,118,Kenya,DHL,20NBOIM402501182,Settled,0,0,4819.10.00,Cartons,12,101,839,5991,4793,AE,8,United Arab Emirates,91,BROWN BOXES,328.0,480,03/17/2020
KE,118,Kenya,DHL,20NBOIMC02213623,Settled,0,0,4819.10.00,Cartons,12,102,839,5991,4793,KR,123,"Korea, Republic of",83,BOX,0.5,480,03/08/2020
KE,118,Kenya,DHL,20NBOIMC02262965,Settled,0,0,4819.10.00,Cartons,12,103,839,5991,4793,DE,60,Germany,92,IST LAMP PACKAGING LENGTH1.170MM CARDBOARD BOX PACKAGING,0.6,480,03/10/2020
US,235,United States,NEX,20NBOEX302487515,Settled,0,0,4819.10.00,Cartons,12,104,839,5991,4793,KE,118,Kenya,93,EMPTY CARTONS (200 PIECES),220.0,480,03/16/2020
KE,118,Kenya,SIG,20NBOIMC02273496,Settled,0,0,4819.40.00,Paper and bags,11,105,839,5991,4793,DE,60,Germany,94,SAMPLEBAGS PAPER 6.3X9.3,8.0,480,03/10/2020
KE,118,Kenya,ACH,20NBOIM402002732,Settled,0,0,4819.10.00,Cartons,12,106,839,5991,4793,NL,167,Netherlands,95,HORTICULTURAL EQUIPMENT - CARTON (Sample),50.0,480,03/03/2020
KE,118,Kenya,ACH,20NBOIMC02579585,Settled,0,0,4819.10.00,Cartons,12,107,839,5991,4793,ZA,247,South Africa,96,BC21ZA COMPLETE( EMPTY PACKAGING),20.0,480,03/19/2020
KE,118,Kenya,CSC,20NBOIM402250464,Settled,0,0,4819.40.00,Paper and bags,11,108,839,5991,4793,TR,227,Türkiye,97,CRAFT PAPER BAG,1177.0,480,03/09/2020
KE,118,Kenya,MSA,20MBAIM400137418,Settled,0,0,7213.91.10,Wire rods,9,109,839,5991,4793,RU,190,Russian Federation,98,PRIME NON-ALLOY STEEL WIRE RODS,205500.0,480,03/09/2020
KE,118,Kenya,MSA,20MBAIM400137153,Pending Removal,0,0,7207.11.00,Billets,8,110,839,5991,4793,RU,190,Russian Federation,99,NON ALLOY STEEL BILLETS SIZE; 100X100X11.81M,1970971.0,480,03/09/2020
KE,118,Kenya,DHL,20NBOIMC02172290,Settled,0,0,4819.10.00,Cartons,12,111,839,5991,4793,DE,60,Germany,100,PACKAGING BOXES,0.3,480,03/09/2020
KE,118,Kenya,MSA,20MBAIM400136603,Settled,0,0,7207.11.00,Billets,8,112,839,5991,4793,RU,190,Russian Federation,101,NON ALLOY STEEL BILLETS 3SP/PS100MMX100MMX11810M,5851333.0,480,03/09/2020
KE,118,Kenya,DHL,20NBOIMC02415844,Under control,0,0,4819.10.00,Cartons,12,113,839,5991,4793,ZA,247,South Africa,102,EXPRESS BOX,50.0,480,03/13/2020
KE,118,Kenya,MSA,20MBAIM400136860,Pending Removal,0,0,7207.11.00,Billets,8,114,839,5991,4793,RU,190,Russian Federation,103,MILD STEEL BILLETS,2879060.0,480,03/09/2020
KE,118,Kenya,SIG,20NBOIM402254230,Pending Removal,0,0,4819.10.00,Cartons,12,115,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,1.0,480,03/09/2020
KE,118,Kenya,TCC,20NBOIM402377381,Removed,0,0,4819.10.00,Cartons,12,116,839,5991,4793,IN,105,India,104,PRINTED & VARNISHED CRTONS MADE OUT OF PAPERBOARD,417.6,480,03/12/2020
KE,118,Kenya,SIG,20NBOIMC02256021,Settled,0,0,4819.10.00,Cartons,12,117,839,5991,4793,US,235,United States,17,DELL COMPUTER EQUIPMENT PACKAGING MATERIAL,0.5,480,03/09/2020
KE,118,Kenya,SIG,20NBOIM402126035,Settled,0,0,4819.10.00,Cartons,12,118,839,5991,4793,US,235,United States,105,PACKAGINGS,0.5,480,03/05/2020
KE,118,Kenya,SIG,20NBOIMC02401102,Settled,0,0,4819.40.00,Paper and bags,11,119,839,5991,4793,CZ,59,Czechia,106,PAPER BAGS,2.13,480,03/13/2020
KE,118,Kenya,MSA,20MBAIM400137038,Settled,0,0,7207.11.00,Billets,8,120,839,5991,4793,RU,190,Russian Federation,107,NON ALLOY STEEL BILLETS SIZE130X130X11810,2818890.0,480,03/09/2020
KE,118,Kenya,DHL,20NBOIM402551775,Settled,0,0,4819.40.00,Paper and bags,11,121,839,5991,4793,FR,76,France,108,REPAIR BAG 1.827.009.569,0.1,480,03/18/2020
KE,118,Kenya,KAH,20NBOIMC02489059,Settled,0,0,4819.30.00,Paper and bags,10,122,839,5991,4793,IN,105,India,109,PULSES,21.0,480,03/16/2020
KE,118,Kenya,ACH,20NBOIM702541394,Settled,0,0,4819.10.00,Cartons,12,123,839,5991,4793,CN,44,China,110,DARTS CARTONS,561.0,480,03/18/2020
KE,118,Kenya,DHL,20NBOIM402572509,Settled,0,0,4819.10.00,Cartons,12,124,839,5991,4793,AE,8,United Arab Emirates,111,BROWN BOX,252.0,480,03/19/2020
KE,118,Kenya,MSA,20MBAIM400154210,Settled,0,0,7213.91.10,Wire rods,9,125,839,5991,4793,ZA,247,South Africa,112,PRIME HOT ROLLED NON-ALLOY STEEL WIRE RODS,385921.0,480,03/20/2020
KE,118,Kenya,MCD,20MBAIM400146298,Settled,0,0,7207.11.00,Billets,8,126,839,5991,4793,UA,232,Ukraine,113,NON ALLOY HOT ROLLED STEEL SQUARE BILLETS IN SIZE 100MM X 100MM X 12M - 94 BDLS,523323.0,480,03/17/2020
KE,118,Kenya,KAH,20NBOIMC02489736,Settled,0,0,4819.40.00,Paper and bags,11,127,839,5991,4793,IN,105,India,114,LADIES PURSE,20.0,480,03/17/2020
KE,118,Kenya,MCD,20MBAIM700146251,Settled,0,0,7207.11.00,Billets,8,128,839,5991,4793,UA,232,Ukraine,115,PRIME HOT ROLLED STEEL SQUARE BILLETS NON ALLOY SIZE 100MM X 100MM X 12M- 390 BE,2164460.0,480,03/16/2020
KE,118,Kenya,SIG,20NBOIM402029482,Settled,0,0,4819.10.00,Cartons,12,129,839,5991,4793,ZA,247,South Africa,37,PACKAGING MATERIALS,150.0,480,03/04/2020
KE,118,Kenya,DHL,20NBOIM402516372,Settled,0,0,4819.10.00,Cartons,12,130,839,5991,4793,KR,123,"Korea, Republic of",83,BOX,2.0,480,03/17/2020
